Date,^N225,9983.T
2020-04-23,19429.439453125,48257.5546875
2020-04-24,19262.0,47293.3984375
2020-04-27,19783.220703125,48684.96875
2020-04-28,19771.189453125,48704.84765625
2020-04-30,20193.689453125,51189.7890625
2020-05-01,19619.349609375,50275.328125
2020-05-07,19674.76953125,49967.1953125
2020-05-08,20179.08984375,51617.19921875
2020-05-11,20390.66015625,53257.2578125
2020-05-12,20366.48046875,52929.24609375
2020-05-13,20267.05078125,51408.4609375
2020-05-14,19914.779296875,51289.18359375
2020-05-15,20037.470703125,50742.5
2020-05-18,20133.73046875,51120.2109375
2020-05-19,20433.44921875,51448.21875
2020-05-20,20595.150390625,52332.859375
2020-05-21,20552.310546875,52640.9921875
2020-05-22,20388.16015625,52680.75
2020-05-25,20741.650390625,54300.93359375
2020-05-26,21271.169921875,56437.984375
2020-05-27,21419.23046875,56656.65625
2020-05-28,21916.310546875,58753.94921875
2020-05-29,21877.890625,60165.39453125
2020-06-01,22062.390625,61507.26171875
2020-06-02,22325.609375,61378.046875
2020-06-03,22613.759765625,63157.26171875
2020-06-04,22695.740234375,63415.69921875
2020-06-05,22863.73046875,63554.8515625
2020-06-08,23178.099609375,64638.2890625
2020-06-09,23091.029296875,65493.109375
